"Year","Geography","DGUID","Age_Group","Gender","Indicators","Number.of.persons","Low.95..confidence.interval..number.of.persons","High.95..confidence.interval..number.of.persons","Coefficient.of.variation.for.number.of.persons","Percent","Low.95..confidence.interval..percent","High.95..confidence.interval..percent","Coefficient.of.variation.for.percent"
2002,"Manitoba","2021A000246","Total 15++ Years","Women+","Suicidal thoughts, life",57704,47075,68333,94,13.2,10.7,15.6,94
2002,"Manitoba","2021A000246","Total 15++ Years","Women+","Suicidal thoughts, 12 months",13992,7343,20641,243,3.2,1.7,4.7,243
2002,"Manitoba","2021A000246","15-24 Years","Total, gender of person","Major depressive episode, life",12560,7421,17699,209,8.5,5,11.9,209
2002,"Manitoba","2021A000246","15-24 Years","Total, gender of person","Suicidal thoughts, life",24558,17541,31575,146,16.4,11.7,21.1,146
2002,"Manitoba","2021A000246","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",9455,4175,14734,285,6.3,2.8,9.9,285
2002,"Manitoba","2021A000246","15-24 Years","Men+","Suicidal thoughts, life",12095,6810,17380,223,15.9,8.9,22.8,223
2002,"Manitoba","2021A000246","15-24 Years","Women+","Major depressive episode, life",7165,3871,10458,235,9.9,5.3,14.4,234
2002,"Manitoba","2021A000246","15-24 Years","Women+","Suicidal thoughts, life",12463,7793,17133,191,17,10.7,23.4,191
2002,"Manitoba","2021A000246","25-44 years","Total, gender of person","Major depressive episode, life",37638,28597,46678,123,12,9.1,14.8,123
2002,"Manitoba","2021A000246","25-44 years","Total, gender of person","Suicidal thoughts, life",44266,34957,53576,107,14.1,11.1,17,107
2002,"Manitoba","2021A000246","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",11879,6398,17361,235,3.8,2,5.5,236
2002,"Manitoba","2021A000246","25-44 years","Men+","Major depressive episode, life",14242,8938,19547,190,8.9,5.6,12.3,190
2002,"Manitoba","2021A000246","25-44 years","Men+","Suicidal thoughts, life",20043,13100,26986,177,12.6,8.2,16.9,177
2002,"Manitoba","2021A000246","25-44 years","Men+","Suicidal thoughts, 12 months",5819,2744,8895,270,3.6,1.7,5.6,270
2002,"Manitoba","2021A000246","25-44 years","Women+","Major depressive episode, life",23396,15944,30847,163,15.1,10.3,19.9,163
2002,"Manitoba","2021A000246","25-44 years","Women+","Suicidal thoughts, life",24223,17278,31168,146,15.7,11.2,20.2,146
2002,"Manitoba","2021A000246","45-64 years","Total, gender of person","Major depressive episode, life",30131,21573,38688,145,11.8,8.4,15.1,145
2002,"Manitoba","2021A000246","45-64 years","Total, gender of person","Suicidal thoughts, life",33931,25508,42355,127,13.2,9.9,16.4,127
2002,"Manitoba","2021A000246","45-64 years","Total, gender of person","Suicidal thoughts, 12 months",7272,3507,11036,264,2.8,1.4,4.3,264
2002,"Manitoba","2021A000246","45-64 years","Men+","Major depressive episode, life",13007,7185,18829,228,10.3,5.7,14.9,228
2002,"Manitoba","2021A000246","45-64 years","Men+","Suicidal thoughts, life",17010,10702,23318,189,13.3,8.4,18.3,189
2002,"Manitoba","2021A000246","45-64 years","Women+","Major depressive episode, life",17124,11336,22911,172,13.2,8.8,17.7,173
2002,"Manitoba","2021A000246","45-64 years","Women+","Suicidal thoughts, life",16921,11051,22792,177,13,8.5,17.5,177
2002,"Manitoba","2021A000246","45-64 years","Women+","Suicidal thoughts, 12 months",2962,1067,4856,326,2.3,0.8,3.7,326
2002,"Manitoba","2021A000246","65+ years","Total, gender of person","Major depressive episode, life",7088,3662,10514,247,5.1,2.6,7.5,246
2002,"Manitoba","2021A000246","65+ years","Total, gender of person","Suicidal thoughts, life",5816,2895,8737,256,4.1,2,6.1,256
2002,"Manitoba","2021A000246","65+ years","Women+","Major depressive episode, life",5973,2882,9063,264,7.5,3.6,11.4,263
2002,"Manitoba","2021A000246","65+ years","Women+","Suicidal thoughts, life",4097,1652,6541,304,5.1,2,8.1,305
2002,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Major depressive episode, life",73175,62049,84300,78,9.7,8.2,11.1,78
2002,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",107559,94373,120745,63,14.2,12.4,15.9,63
2002,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",31251,24000,38502,118,4.1,3.2,5.1,118
2002,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Major depressive episode, life",26177,19803,32552,124,7,5.3,8.7,124
2002,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Suicidal thoughts, life",48188,39095,57282,96,12.9,10.5,15.3,96
2002,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Suicidal thoughts, 12 months",14041,9353,18729,170,3.8,2.5,5,170
2002,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Major depressive episode, life",46997,37882,56113,99,12.3,9.9,14.6,99
2002,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Suicidal thoughts, life",59371,49607,69134,84,15.4,12.9,18,84
2002,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Suicidal thoughts, 12 months",17210,11805,22616,160,4.5,3.1,5.9,160
2002,"Saskatchewan","2021A000247","15-24 Years","Total, gender of person","Major depressive episode, life",9861,5992,13729,200,7,4.3,9.8,200
2002,"Saskatchewan","2021A000247","15-24 Years","Total, gender of person","Suicidal thoughts, life",23188,16908,29468,138,16.5,12,21,138
2002,"Saskatchewan","2021A000247","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",6206,3601,8811,214,4.4,2.6,6.3,214
2002,"Saskatchewan","2021A000247","15-24 Years","Men+","Major depressive episode, life",4506,1873,7139,298,6.2,2.6,9.8,298
2002,"Saskatchewan","2021A000247","15-24 Years","Men+","Suicidal thoughts, life",7915,4222,11609,238,10.9,5.8,16,238
2002,"Saskatchewan","2021A000247","15-24 Years","Women+","Major depressive episode, life",5355,2562,8148,266,7.9,3.8,12,266
2002,"Saskatchewan","2021A000247","15-24 Years","Women+","Suicidal thoughts, life",15273,10088,20458,173,22.4,14.8,30.1,173
2002,"Saskatchewan","2021A000247","25-44 years","Total, gender of person","Major depressive episode, life",29832,22465,37199,126,11.3,8.5,14.1,126
2002,"Saskatchewan","2021A000247","25-44 years","Total, gender of person","Suicidal thoughts, life",52168,43034,61303,89,19.8,16.3,23.2,89
2002,"Saskatchewan","2021A000247","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",17841,12823,22858,144,6.8,4.9,8.7,144
2002,"Saskatchewan","2021A000247","25-44 years","Men+","Major depressive episode, life",10796,6659,14932,196,8.2,5,11.3,196
2002,"Saskatchewan","2021A000247","25-44 years","Men+","Suicidal thoughts, life",24100,17257,30942,145,18.3,13.1,23.4,145
2002,"Saskatchewan","2021A000247","25-44 years","Men+","Suicidal thoughts, 12 months",8812,4776,12848,234,6.7,3.6,9.7,234
2002,"Saskatchewan","2021A000247","25-44 years","Women+","Major depressive episode, life",19036,12962,25111,163,14.4,9.8,19,163
2002,"Saskatchewan","2021A000247","25-44 years","Women+","Suicidal thoughts, life",28069,20815,35323,132,21.2,15.8,26.7,132
2002,"Saskatchewan","2021A000247","25-44 years","Women+","Suicidal thoughts, 12 months",9028,5367,12690,207,6.8,4.1,9.6,207
2002,"Saskatchewan","2021A000247","45-64 years","Total, gender of person","Major depressive episode, life",25299,18735,31862,132,11.6,8.6,14.6,132
2002,"Saskatchewan","2021A000247","45-64 years","Total, gender of person","Suicidal thoughts, life",23654,17386,29922,135,10.8,7.9,13.7,135
2002,"Saskatchewan","2021A000247","45-64 years","Men+","Major depressive episode, life",8528,4741,12315,227,7.8,4.3,11.3,226
2002,"Saskatchewan","2021A000247","45-64 years","Men+","Suicidal thoughts, life",13340,8287,18393,193,12.1,7.5,16.7,193
2002,"Saskatchewan","2021A000247","45-64 years","Women+","Major depressive episode, life",16770,11145,22396,171,15.4,10.2,20.5,171
2002,"Saskatchewan","2021A000247","45-64 years","Women+","Suicidal thoughts, life",10314,6504,14123,188,9.5,6,13,188
2002,"Saskatchewan","2021A000247","65+ years","Total, gender of person","Major depressive episode, life",8183,4837,11530,209,6.1,3.6,8.7,208
2002,"Saskatchewan","2021A000247","65+ years","Total, gender of person","Suicidal thoughts, life",8549,4984,12113,213,6.3,3.7,9,213
2002,"Saskatchewan","2021A000247","65+ years","Women+","Major depressive episode, life",5836,2991,8681,249,7.9,4.1,11.7,248
2002,"Saskatchewan","2021A000247","65+ years","Women+","Suicidal thoughts, life",5716,2918,8514,250,7.6,3.9,11.3,250
2002,"Alberta","2021A000248","Total 15++ Years","Total, gender of person","Major depressive episode, life",296802,261543,332061,61,12.3,10.9,13.8,61
2002,"Alberta","2021A000248","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",368597,332020,405174,51,15.2,13.7,16.7,51
2002,"Alberta","2021A000248","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",103611,84634,122588,93,4.3,3.5,5.1,94
2002,"Alberta","2021A000248","Total 15++ Years","Total, gender of person","Eating disorder, current diagnosed condition",14896,5990,23801,305,0.6,0.2,1,305
2002,"Alberta","2021A000248","Total 15++ Years","Men+","Major depressive episode, life",115742,93219,138265,99,9.6,7.7,11.4,100
2002,"Alberta","2021A000248","Total 15++ Years","Men+","Suicidal thoughts, life",182750,156676,208824,73,15,12.9,17.2,73
2002,"Alberta","2021A000248","Total 15++ Years","Men+","Suicidal thoughts, 12 months",53507,38320,68694,145,4.4,3.1,5.6,145
2002,"Alberta","2021A000248","Total 15++ Years","Women+","Major depressive episode, life",181060,156350,205770,70,15.1,13,17.2,70
2002,"Alberta","2021A000248","Total 15++ Years","Women+","Suicidal thoughts, life",185847,160206,211488,70,15.4,13.3,17.5,71
2002,"Alberta","2021A000248","Total 15++ Years","Women+","Suicidal thoughts, 12 months",50104,36596,63613,138,4.2,3,5.3,138
2002,"Alberta","2021A000248","Total 15++ Years","Women+","Eating disorder, current diagnosed condition",14896,5990,23801,305,1.2,0.5,2,305
2002,"Alberta","2021A000248","15-24 Years","Total, gender of person","Major depressive episode, life",46328,34080,58576,135,10.2,7.5,12.9,135
2002,"Alberta","2021A000248","15-24 Years","Total, gender of person","Suicidal thoughts, life",85243,69914,100572,92,18.7,15.3,22.1,92
2002,"Alberta","2021A000248","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",33130,21250,45010,183,7.3,4.7,9.9,183
2002,"Alberta","2021A000248","15-24 Years","Men+","Major depressive episode, life",16383,8638,24128,241,7.1,3.7,10.4,242
2002,"Alberta","2021A000248","15-24 Years","Men+","Suicidal thoughts, life",40810,29084,52535,147,17.4,12.4,22.5,147
2002,"Alberta","2021A000248","15-24 Years","Men+","Suicidal thoughts, 12 months",14508,6805,22211,271,6.2,2.9,9.5,271
2002,"Alberta","2021A000248","15-24 Years","Women+","Major depressive episode, life",29945,21255,38635,148,13.5,9.6,17.4,148
2002,"Alberta","2021A000248","15-24 Years","Women+","Suicidal thoughts, life",44433,34085,54782,119,20,15.4,24.7,119
2002,"Alberta","2021A000248","15-24 Years","Women+","Suicidal thoughts, 12 months",18622,9503,27742,250,8.4,4.3,12.5,250
2002,"Alberta","2021A000248","25-44 years","Total, gender of person","Major depressive episode, life",130393,109062,151724,84,13.4,11.2,15.6,84
2002,"Alberta","2021A000248","25-44 years","Total, gender of person","Suicidal thoughts, life",170149,145919,194378,73,17.4,14.9,19.9,73
2002,"Alberta","2021A000248","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",36804,25532,48076,156,3.8,2.6,4.9,156
2002,"Alberta","2021A000248","25-44 years","Men+","Major depressive episode, life",50296,36058,64535,144,10.2,7.3,13,145
2002,"Alberta","2021A000248","25-44 years","Men+","Suicidal thoughts, life",93391,75278,111505,99,18.7,15.1,22.3,99
2002,"Alberta","2021A000248","25-44 years","Men+","Suicidal thoughts, 12 months",24669,14668,34670,207,4.9,2.9,6.9,207
2002,"Alberta","2021A000248","25-44 years","Women+","Major depressive episode, life",80096,64214,95979,101,16.8,13.4,20.1,102
2002,"Alberta","2021A000248","25-44 years","Women+","Suicidal thoughts, life",76757,60533,92982,108,16,12.6,19.4,108
2002,"Alberta","2021A000248","25-44 years","Women+","Suicidal thoughts, 12 months",12135,6834,17436,223,2.5,1.4,3.6,223
2002,"Alberta","2021A000248","45-64 years","Total, gender of person","Major depressive episode, life",100463,79942,120983,104,14.5,11.5,17.4,104
2002,"Alberta","2021A000248","45-64 years","Total, gender of person","Suicidal thoughts, life",92367,75512,109222,93,13.3,10.9,15.7,93
2002,"Alberta","2021A000248","45-64 years","Total, gender of person","Suicidal thoughts, 12 months",30375,19007,41744,191,4.4,2.7,6,191
2002,"Alberta","2021A000248","45-64 years","Men+","Major depressive episode, life",39371,24389,54353,194,11.2,6.9,15.4,194
2002,"Alberta","2021A000248","45-64 years","Men+","Suicidal thoughts, life",36926,24542,49309,171,10.5,7,14,171
2002,"Alberta","2021A000248","45-64 years","Men+","Suicidal thoughts, 12 months",12622,4691,20553,321,3.6,1.3,5.8,320
2002,"Alberta","2021A000248","45-64 years","Women+","Major depressive episode, life",61092,47294,74889,115,17.8,13.8,21.9,115
2002,"Alberta","2021A000248","45-64 years","Women+","Suicidal thoughts, life",55441,42611,68271,118,16.1,12.4,19.9,118
2002,"Alberta","2021A000248","45-64 years","Women+","Suicidal thoughts, 12 months",17754,9327,26180,242,5.2,2.7,7.6,242
2002,"Alberta","2021A000248","65+ years","Total, gender of person","Major depressive episode, life",19619,9942,29295,252,6.8,3.4,10.2,252
2002,"Alberta","2021A000248","65+ years","Total, gender of person","Suicidal thoughts, life",20838,11504,30173,229,7.1,3.9,10.3,229
2002,"Alberta","2021A000248","65+ years","Women+","Major depressive episode, life",9927,4025,15828,303,6.3,2.6,10.1,303
2002,"Alberta","2021A000248","65+ years","Women+","Suicidal thoughts, life",9215,4346,14084,270,5.7,2.7,8.8,270
2002,"British Columbia","2021A000259","Total 15++ Years","Total, gender of person","Major depressive episode, life",453362,410226,496498,49,13.7,12.4,15,49
2002,"British Columbia","2021A000259","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",528418,480867,575968,46,15.9,14.5,17.3,46
2002,"British Columbia","2021A000259","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",124694,98589,150799,107,3.8,3,4.5,107
2002,"British Columbia","2021A000259","Total 15++ Years","Total, gender of person","Eating disorder, current diagnosed condition",14666,6300,23032,291,0.4,0.2,0.7,291
2002,"British Columbia","2021A000259","Total 15++ Years","Men+","Major depressive episode, life",154561,129271,179851,84,9.5,7.9,11,84
2002,"British Columbia","2021A000259","Total 15++ Years","Men+","Suicidal thoughts, life",242840,212056,273625,65,14.9,13,16.8,65
2002,"British Columbia","2021A000259","Total 15++ Years","Men+","Suicidal thoughts, 12 months",53687,36924,70450,159,3.3,2.3,4.3,159
2002,"British Columbia","2021A000259","Total 15++ Years","Women+","Major depressive episode, life",298801,265378,332224,57,17.7,15.8,19.7,57
2002,"British Columbia","2021A000259","Total 15++ Years","Women+","Suicidal thoughts, life",285577,250355,320799,63,16.9,14.8,18.9,63
2002,"British Columbia","2021A000259","Total 15++ Years","Women+","Suicidal thoughts, 12 months",71007,51330,90684,141,4.2,3,5.4,141
2002,"British Columbia","2021A000259","Total 15++ Years","Women+","Eating disorder, current diagnosed condition",13086,5196,20977,308,0.8,0.3,1.2,308
2002,"British Columbia","2021A000259","15-24 Years","Total, gender of person","Major depressive episode, life",49103,34343,63862,153,9.1,6.4,11.8,153
2002,"British Columbia","2021A000259","15-24 Years","Total, gender of person","Suicidal thoughts, life",101137,80872,121403,102,18.6,14.9,22.4,102
2002,"British Columbia","2021A000259","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",38367,25080,51654,177,7.1,4.6,9.5,177
2002,"British Columbia","2021A000259","15-24 Years","Men+","Major depressive episode, life",13565,6067,21062,282,5,2.2,7.7,282
2002,"British Columbia","2021A000259","15-24 Years","Men+","Suicidal thoughts, life",38179,24376,51983,185,13.9,8.9,18.9,184
2002,"British Columbia","2021A000259","15-24 Years","Men+","Suicidal thoughts, 12 months",12074,5078,19070,296,4.4,1.8,6.9,296
2002,"British Columbia","2021A000259","15-24 Years","Women+","Major depressive episode, life",35538,23044,48032,179,13.3,8.6,18,179
2002,"British Columbia","2021A000259","15-24 Years","Women+","Suicidal thoughts, life",62958,47054,78862,129,23.5,17.6,29.5,129
2002,"British Columbia","2021A000259","15-24 Years","Women+","Suicidal thoughts, 12 months",26293,14888,37698,221,9.8,5.6,14.1,221
2002,"British Columbia","2021A000259","25-44 years","Total, gender of person","Major depressive episode, life",203475,173556,233394,75,16.5,14.1,18.9,75
2002,"British Columbia","2021A000259","25-44 years","Total, gender of person","Suicidal thoughts, life",235352,204212,266492,68,19,16.5,21.6,68
2002,"British Columbia","2021A000259","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",48551,33837,63265,155,3.9,2.7,5.1,155
2002,"British Columbia","2021A000259","25-44 years","Men+","Major depressive episode, life",80106,61583,98629,118,13.1,10.1,16.1,118
2002,"British Columbia","2021A000259","25-44 years","Men+","Suicidal thoughts, life",111876,92229,131524,90,18.3,15,21.5,90
2002,"British Columbia","2021A000259","25-44 years","Men+","Suicidal thoughts, 12 months",20305,10875,29736,237,3.3,1.8,4.9,237
2002,"British Columbia","2021A000259","25-44 years","Women+","Major depressive episode, life",123369,100174,146565,96,19.8,16.1,23.6,96
2002,"British Columbia","2021A000259","25-44 years","Women+","Suicidal thoughts, life",123475,101628,145323,90,19.8,16.3,23.3,90
2002,"British Columbia","2021A000259","25-44 years","Women+","Suicidal thoughts, 12 months",28246,16983,39509,203,4.5,2.7,6.3,203
2002,"British Columbia","2021A000259","45-64 years","Total, gender of person","Major depressive episode, life",163318,137382,189254,81,15.9,13.4,18.4,81
2002,"British Columbia","2021A000259","45-64 years","Total, gender of person","Suicidal thoughts, life",158516,132611,184422,83,15.4,12.9,17.9,83
2002,"British Columbia","2021A000259","45-64 years","Total, gender of person","Suicidal thoughts, 12 months",34338,19628,49048,219,3.3,1.9,4.8,219
2002,"British Columbia","2021A000259","45-64 years","Men+","Major depressive episode, life",45289,30841,59737,163,8.9,6,11.7,163
2002,"British Columbia","2021A000259","45-64 years","Men+","Suicidal thoughts, life",77812,57162,98463,135,15.2,11.2,19.3,135
2002,"British Columbia","2021A000259","45-64 years","Men+","Suicidal thoughts, 12 months",20284,8383,32185,299,4,1.6,6.3,299
2002,"British Columbia","2021A000259","45-64 years","Women+","Major depressive episode, life",118029,96397,139661,94,22.9,18.7,27,93
2002,"British Columbia","2021A000259","45-64 years","Women+","Suicidal thoughts, life",80704,62032,99376,118,15.6,12,19.2,118
2002,"British Columbia","2021A000259","65+ years","Total, gender of person","Major depressive episode, life",37466,26795,48138,145,7.3,5.2,9.4,146
2002,"British Columbia","2021A000259","65+ years","Total, gender of person","Suicidal thoughts, life",33412,23351,43474,154,6.5,4.5,8.5,154
2002,"British Columbia","2021A000259","65+ years","Total, gender of person","Suicidal thoughts, 12 months",3438,1267,5609,322,0.7,0.2,1.1,322
2002,"British Columbia","2021A000259","65+ years","Men+","Major depressive episode, life",15601,8657,22545,227,6.7,3.7,9.7,227
2002,"British Columbia","2021A000259","65+ years","Men+","Suicidal thoughts, life",14972,8444,21501,223,6.5,3.6,9.3,223
2002,"British Columbia","2021A000259","65+ years","Women+","Major depressive episode, life",21865,14032,29698,183,7.8,5,10.6,183
2002,"British Columbia","2021A000259","65+ years","Women+","Suicidal thoughts, life",18440,11041,25839,205,6.5,3.9,9.1,205
2012,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Any mood disorder, life",3533368,3349411,3717325,27,12.6,11.9,13.2,27
2012,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Major depressive episode, life",3184422,3007316,3361528,28,11.3,10.7,11.9,28
2012,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Bipolar disorder, life",737701,649238,826163,61,2.6,2.3,2.9,61
2012,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Generalized anxiety disorder, life",2448026,2293489,2602563,32,8.7,8.2,9.3,32
2012,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",3365265,3186885,3543645,27,11.9,11.3,12.6,27
2012,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",942723,845527,1039919,53,3.3,3,3.7,53
2012,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",358937,300211,417662,84,1.3,1.1,1.5,84
2012,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Eating disorder, current diagnosed condition",113108,80559,145658,147,0.4,0.3,0.5,147
2012,"Canada","2021A000011124","Total 15++ Years","Men+","Any mood disorder, life",1388452,1269657,1507247,44,10,9.2,10.9,44
2012,"Canada","2021A000011124","Total 15++ Years","Men+","Major depressive episode, life",1179264,1069168,1289359,48,8.5,7.7,9.3,48
2012,"Canada","2021A000011124","Total 15++ Years","Men+","Bipolar disorder, life",376341,318797,433884,78,2.7,2.3,3.1,78
2012,"Canada","2021A000011124","Total 15++ Years","Men+","Generalized anxiety disorder, life",836464,752577,920351,51,6,5.4,6.6,51
2012,"Canada","2021A000011124","Total 15++ Years","Men+","Suicidal thoughts, life",1479453,1363097,1595809,40,10.7,9.8,11.5,40
2012,"Canada","2021A000011124","Total 15++ Years","Men+","Suicidal thoughts, 12 months",446499,382279,510718,73,3.2,2.8,3.7,73
2012,"Canada","2021A000011124","Total 15++ Years","Men+","Schizophrenia or psychosis, ever received diagnosis",168446,130716,206176,114,1.2,0.9,1.5,114
2012,"Canada","2021A000011124","Total 15++ Years","Men+","Eating disorder, current diagnosed condition",27335,15207,39462,226,0.2,0.1,0.3,226
2012,"Canada","2021A000011124","Total 15++ Years","Women+","Any mood disorder, life",2144916,2002373,2287458,34,15.1,14.1,16.1,34
2012,"Canada","2021A000011124","Total 15++ Years","Women+","Major depressive episode, life",2005158,1865344,2144973,36,14.1,13.1,15,36
2012,"Canada","2021A000011124","Total 15++ Years","Women+","Bipolar disorder, life",361360,295955,426764,92,2.5,2.1,3,92
2012,"Canada","2021A000011124","Total 15++ Years","Women+","Generalized anxiety disorder, life",1611562,1478864,1744260,42,11.3,10.4,12.2,42
2012,"Canada","2021A000011124","Total 15++ Years","Women+","Suicidal thoughts, life",1885812,1751910,2019714,36,13.2,12.2,14.1,36
2012,"Canada","2021A000011124","Total 15++ Years","Women+","Suicidal thoughts, 12 months",496224,421588,570860,77,3.5,2.9,4,77
2012,"Canada","2021A000011124","Total 15++ Years","Women+","Schizophrenia or psychosis, ever received diagnosis",190490,146684,234297,117,1.3,1,1.6,117
2012,"Canada","2021A000011124","Total 15++ Years","Women+","Eating disorder, current diagnosed condition",85773,55547,116000,180,0.6,0.4,0.8,180
2012,"Canada","2021A000011124","15-24 Years","Total, gender of person","Any mood disorder, life",565175,500544,629806,58,12.8,11.3,14.2,58
2012,"Canada","2021A000011124","15-24 Years","Total, gender of person","Major depressive episode, life",474311,412401,536220,67,10.7,9.3,12.1,67
2012,"Canada","2021A000011124","15-24 Years","Total, gender of person","Bipolar disorder, life",177597,140871,214324,106,4,3.2,4.8,105
2012,"Canada","2021A000011124","15-24 Years","Total, gender of person","Generalized anxiety disorder, life",280516,232608,328424,87,6.3,5.2,7.4,87
2012,"Canada","2021A000011124","15-24 Years","Total, gender of person","Suicidal thoughts, life",626976,559294,694659,55,14.1,12.6,15.6,55
2012,"Canada","2021A000011124","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",257818,213827,301809,87,5.8,4.8,6.8,87
2012,"Canada","2021A000011124","15-24 Years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",63568,37653,89483,208,1.4,0.8,2,208
2012,"Canada","2021A000011124","15-24 Years","Total, gender of person","Eating disorder, current diagnosed condition",26945,12475,41414,274,0.6,0.3,0.9,274
2012,"Canada","2021A000011124","15-24 Years","Men+","Any mood disorder, life",258281,207457,309105,100,11.4,9.2,13.7,100
2012,"Canada","2021A000011124","15-24 Years","Men+","Major depressive episode, life",195222,149663,240781,119,8.6,6.6,10.6,119
2012,"Canada","2021A000011124","15-24 Years","Men+","Bipolar disorder, life",101497,72075,130919,148,4.5,3.2,5.8,148
2012,"Canada","2021A000011124","15-24 Years","Men+","Generalized anxiety disorder, life",84733,61046,108421,143,3.7,2.7,4.8,143
2012,"Canada","2021A000011124","15-24 Years","Men+","Suicidal thoughts, life",274402,229697,319107,83,12,10.1,14,83
2012,"Canada","2021A000011124","15-24 Years","Men+","Suicidal thoughts, 12 months",114126,83184,145069,138,5,3.7,6.4,138
2012,"Canada","2021A000011124","15-24 Years","Men+","Schizophrenia or psychosis, ever received diagnosis",27085,11351,42818,296,1.2,0.5,1.9,296
2012,"Canada","2021A000011124","15-24 Years","Women+","Any mood disorder, life",306894,261556,352232,75,14.2,12.1,16.2,75
2012,"Canada","2021A000011124","15-24 Years","Women+","Major depressive episode, life",279089,234320,323858,82,12.8,10.8,14.9,82
2012,"Canada","2021A000011124","15-24 Years","Women+","Bipolar disorder, life",76101,51928,100273,162,3.5,2.4,4.6,162
2012,"Canada","2021A000011124","15-24 Years","Women+","Generalized anxiety disorder, life",195783,154029,237536,109,9,7.1,10.9,109
2012,"Canada","2021A000011124","15-24 Years","Women+","Suicidal thoughts, life",352574,303558,401590,71,16.2,14,18.5,71
2012,"Canada","2021A000011124","15-24 Years","Women+","Suicidal thoughts, 12 months",143692,109689,177694,121,6.6,5,8.2,121
2012,"Canada","2021A000011124","15-24 Years","Women+","Schizophrenia or psychosis, ever received diagnosis",36484,15727,57240,290,1.7,0.7,2.6,290
2012,"Canada","2021A000011124","15-24 Years","Women+","Eating disorder, current diagnosed condition",23469,9151,37787,311,1.1,0.4,1.7,311
2012,"Canada","2021A000011124","25-44 years","Total, gender of person","Any mood disorder, life",1270024,1151719,1388328,48,13.8,12.5,15.1,48
2012,"Canada","2021A000011124","25-44 years","Total, gender of person","Major depressive episode, life",1104744,992759,1216729,52,11.9,10.7,13.2,52
2012,"Canada","2021A000011124","25-44 years","Total, gender of person","Bipolar disorder, life",317204,247285,387122,113,3.4,2.7,4.2,112
2012,"Canada","2021A000011124","25-44 years","Total, gender of person","Generalized anxiety disorder, life",818411,726953,909869,57,8.9,7.9,9.9,57
2012,"Canada","2021A000011124","25-44 years","Total, gender of person","Suicidal thoughts, life",1224573,1112226,1336919,47,13.2,12,14.5,47
2012,"Canada","2021A000011124","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",346923,277144,416703,103,3.8,3,4.5,103
2012,"Canada","2021A000011124","25-44 years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",128840,92611,165069,144,1.4,1,1.8,144
2012,"Canada","2021A000011124","25-44 years","Total, gender of person","Eating disorder, current diagnosed condition",55210,29868,80552,234,0.6,0.3,0.9,234
2012,"Canada","2021A000011124","25-44 years","Men+","Any mood disorder, life",513122,438827,587417,74,11.1,9.5,12.7,74
2012,"Canada","2021A000011124","25-44 years","Men+","Major depressive episode, life",403694,340090,467298,80,8.7,7.4,10.1,80
2012,"Canada","2021A000011124","25-44 years","Men+","Bipolar disorder, life",177725,133428,222022,127,3.8,2.9,4.8,127
2012,"Canada","2021A000011124","25-44 years","Men+","Generalized anxiety disorder, life",314153,258299,370007,91,6.8,5.6,8,91
2012,"Canada","2021A000011124","25-44 years","Men+","Suicidal thoughts, life",572376,492487,652266,71,12.4,10.6,14.1,71
2012,"Canada","2021A000011124","25-44 years","Men+","Suicidal thoughts, 12 months",150461,111300,189622,133,3.2,2.4,4.1,133
2012,"Canada","2021A000011124","25-44 years","Men+","Schizophrenia or psychosis, ever received diagnosis",58540,35207,81873,203,1.3,0.8,1.8,203
